"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Yoga","Other","","","","2020-01-28","","0","","","","","0.407018065452576","0","","","","62","90","","","0.522093451430546","12.02","24","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-29","","13.4799995422363","","","","","0.033691942691803","0.111000001430511","","","","62","77","","","0.0806233063927988","0.02","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-01-29","","2113.3798828125","","","","","0.58156418800354","1.00899994373322","","31","","97","119","","","0.336825243873672","7.21","34","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Yoga","Other","","","","2020-01-29","","0","","","","","0.504415810108185","0","","","","69","96","","","0.525790216965506","15.19","30","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-30","","19.0799999237061","","","","","0.0335361137986183","0.158000007271767","","1","","61","75","","","0.0174936262201405","1.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2020-01-30","","25158.880859375","161","242","581.795","","1.00194001197815","6.97499990463257","","56","","148","189","","","0.711936852866902","50.4","3","2","3","6","2","4","40","","","","13","19","19","9","0","0","","","","","",""
"Treadmill Running","Run","","","","2020-01-30","","4004.419921875","","","","","0.501789152622223","2.21700000762939","","77","","150","191","","","0.665100002288818","24.18","0","1","2","3","2","3","18","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-31","","19.7299995422363","","","","","0.0335419438779354","0.163000002503395","","","","59","68","","","0.0838530084260057","0.02","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-01-31","","1980.14001464844","","","","","0.593363285064697","0.926999986171722","","28","","87","102","","","0.33585741086142","7.32","36","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Yoga","Other","","","","2020-01-31","","0","","","","","0.406972497701645","0","","","","63","95","","","0.528106103969016","12.29","24","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-02-01","","25.4599990844727","","","","","0.0336450003087521","0.209999993443489","","","","61","78","","","0.0985377730515467","0.03","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-02-01","","4027.56005859375","","","","","0.50767582654953","2.2039999961853","","76","","143","186","","","0.661199998855591","24.18","5","2","1","3","1","1","18","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2020-02-01","","0","","","","","0.50089693069458","0","","","","127","151","","","0.618447418716508","20.86","2","5","14","8","1","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-02-02","","9.30000019073486","","","","","0.0336683355271816","0.0769999995827675","","","","62","77","","","0.0388291048772379","0.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-02-03","","26.7999992370605","","","","","0.0338127762079239","0.219999998807907","","","","62","76","","","0.00978293538808055","1.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-02-03","","1125.83996582031","","","","","0.300653904676437","1.03999996185303","","33","","101","113","","","0.362061678880137","4.24","18","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2020-02-03","","24967.900390625","159","246","570.605","","1.00120258331299","6.92700004577637","","55","","143","180","","","0.709680564815167","49.92","4","4","4","11","4","5","29","","","","15","15","21","9","0","0","","","","","",""
"Treadmill Running","Run","","","","2020-02-03","","4009.169921875","","","","","0.50387054681778","2.21000003814697","","76","","138","167","","","0.663000011444092","24.12","2","3","3","6","4","4","8","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-02-04","","19.3199996948242","","","","","0.0335244461894035","0.159999996423721","","1","","57","77","","","0.0527498972341281","0.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-02-04","","7998.14990234375","","","","","1.00892281532288","2.20199990272522","","77","","133","179","","","0.660599970817566","48.78","11","3","4","10","10","8","14","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-02-05","","19.5599994659424","","","","","0.0335936099290848","0.162000000476837","","","","57","72","","","0.0419141113188485","0.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-02-05","","1409.82995605469","","","","","0.382633328437805","1.02300000190735","","32","","100","117","","","0.337543074767376","4.72","23","0","0","0","0","0","0","","","","","","","","","","","","","","",""
